Source,target,id,Type
0,3,0,exp
0,27,1,exp
0,31,2,exp
0,37,3,exp
1,27,4,exp
1,31,5,exp
1,36,6,exp
1,37,7,exp
1,39,8,exp
1,41,9,exp
1,52,10,exp
1,54,11,exp
1,65,12,exp
1,68,13,exp
1,75,14,exp
1,80,15,exp
1,85,16,exp
2,1,17,exp
2,3,18,exp
2,37,19,exp
2,39,20,exp
2,41,21,exp
2,60,22,exp
2,75,23,exp
2,80,24,exp
3,1,25,exp
3,31,26,exp
3,37,27,exp
4,27,28,exp
5,36,29,exp
6,19,30,exp
6,78,31,exp
7,27,32,exp
8,40,33,exp
8,47,34,exp
9,19,35,exp
9,31,36,exp
9,34,37,exp
9,54,38,exp
9,57,39,exp
9,68,40,exp
10,13,41,exp
10,19,42,exp
10,37,43,exp
11,1,44,exp
11,27,45,exp
11,31,46,exp
11,36,47,exp
11,39,48,exp
11,65,49,exp
12,19,50,exp
12,27,51,exp
12,85,52,exp
13,27,53,exp
13,41,54,exp
13,78,55,exp
14,1,56,exp
14,13,57,exp
14,19,58,exp
14,41,59,exp
14,54,60,exp
14,57,61,exp
14,80,62,exp
15,19,63,exp
16,19,64,exp
17,28,65,exp
17,78,66,exp
18,19,67,exp
18,40,68,exp
19,28,69,exp
19,37,70,exp
19,40,71,exp
19,46,72,exp
19,54,73,exp
19,57,74,exp
19,75,75,exp
19,78,76,exp
19,85,77,exp
20,19,78,exp
20,54,79,exp
20,78,80,exp
21,19,81,exp
22,1,82,exp
22,27,83,exp
22,31,84,exp
22,36,85,exp
22,37,86,exp
22,85,87,exp
23,2,88,exp
23,19,89,exp
24,1,90,exp
24,27,91,exp
24,31,92,exp
24,37,93,exp
24,40,94,exp
24,54,95,exp
24,65,96,exp
24,80,97,exp
24,85,98,exp
24,112,99,exp
25,41,100,exp
26,19,101,exp
26,27,102,exp
27,57,103,exp
28,13,104,exp
28,17,105,exp
28,27,106,exp
28,34,107,exp
28,37,108,exp
28,40,109,exp
28,44,110,exp
28,46,111,exp
28,47,112,exp
28,54,113,exp
28,56,114,exp
28,78,115,exp
28,80,116,exp
28,85,117,exp
29,36,118,exp
30,19,119,exp
30,40,120,exp
30,80,121,exp
31,1,122,exp
31,27,123,exp
31,34,124,exp
31,37,125,exp
31,40,126,exp
31,54,127,exp
31,85,128,exp
32,1,129,exp
32,27,130,exp
32,31,131,exp
32,37,132,exp
32,54,133,exp
32,65,134,exp
32,85,135,exp
33,19,136,exp
33,54,137,exp
34,27,138,exp
34,37,139,exp
34,54,140,exp
34,80,141,exp
34,85,142,exp
35,40,143,exp
35,47,144,exp
36,1,145,exp
36,22,146,exp
36,27,147,exp
36,31,148,exp
36,32,149,exp
36,37,150,exp
36,39,151,exp
36,40,152,exp
36,54,153,exp
36,65,154,exp
36,85,155,exp
37,1,156,exp
37,27,157,exp
37,31,158,exp
37,39,159,exp
37,65,160,exp
38,27,161,exp
39,1,162,exp
39,11,163,exp
39,22,164,exp
39,27,165,exp
39,31,166,exp
39,36,167,exp
39,85,168,exp
39,112,169,exp
40,7,170,exp
40,41,171,exp
40,47,172,exp
40,48,173,exp
40,68,174,exp
41,7,175,exp
41,27,176,exp
41,37,177,exp
41,54,178,exp
41,59,179,exp
41,68,180,exp
41,80,181,exp
41,85,182,exp
41,112,183,exp
42,19,184,exp
42,36,185,exp
42,57,186,exp
43,13,187,exp
43,54,188,exp
43,78,189,exp
43,82,190,exp
44,27,191,exp
44,37,192,exp
44,54,193,exp
45,19,194,exp
45,32,195,exp
46,13,196,exp
46,27,197,exp
46,40,198,exp
46,47,199,exp
46,54,200,exp
46,78,201,exp
46,80,202,exp
47,54,203,exp
47,59,204,exp
47,80,205,exp
48,17,206,exp
48,28,207,exp
48,34,208,exp
48,40,209,exp
48,44,210,exp
48,50,211,exp
48,52,212,exp
48,54,213,exp
48,70,214,exp
48,72,215,exp
48,80,216,exp
48,85,217,exp
49,19,218,exp
49,54,219,exp
49,78,220,exp
50,37,221,exp
51,56,222,exp
52,34,223,exp
52,40,224,exp
52,54,225,exp
52,78,226,exp
52,80,227,exp
52,85,228,exp
53,54,229,exp
54,27,230,exp
54,85,231,exp
54,112,232,exp
55,50,233,exp
56,13,234,exp
56,17,235,exp
56,28,236,exp
56,37,237,exp
56,40,238,exp
56,50,239,exp
56,54,240,exp
56,78,241,exp
56,82,242,exp
56,85,243,exp
56,126,244,exp
57,1,245,exp
57,2,246,exp
57,3,247,exp
57,11,248,exp
57,22,249,exp
57,24,250,exp
57,31,251,exp
57,32,252,exp
57,36,253,exp
57,37,254,exp
57,39,255,exp
57,60,256,exp
57,65,257,exp
57,75,258,exp
57,112,259,exp
58,19,260,exp
58,37,261,exp
59,117,262,exp
60,1,263,exp
60,37,264,exp
60,41,265,exp
60,75,266,exp
60,80,267,exp
61,117,268,exp
62,19,269,exp
63,36,270,exp
64,19,271,exp
64,24,272,exp
64,57,273,exp
64,80,274,exp
65,27,275,exp
65,40,276,exp
65,54,277,exp
65,85,278,exp
66,19,279,exp
67,126,280,exp
68,37,281,exp
68,54,282,exp
68,59,283,exp
69,17,284,exp
69,19,285,exp
69,21,286,exp
69,28,287,exp
69,56,288,exp
69,78,289,exp
69,126,290,exp
70,34,291,exp
70,52,292,exp
70,54,293,exp
70,85,294,exp
71,17,295,exp
71,19,296,exp
72,3,297,exp
72,39,298,exp
72,54,299,exp
73,19,300,exp
73,57,301,exp
74,19,302,exp
74,28,303,exp
74,56,304,exp
74,78,305,exp
75,1,306,exp
75,3,307,exp
75,31,308,exp
75,37,309,exp
75,40,310,exp
75,54,311,exp
75,59,312,exp
75,60,313,exp
75,65,314,exp
75,80,315,exp
75,112,316,exp
75,117,317,exp
76,19,318,exp
76,52,319,exp
76,54,320,exp
76,80,321,exp
76,85,322,exp
77,37,323,exp
78,13,324,exp
78,17,325,exp
78,27,326,exp
78,28,327,exp
78,34,328,exp
78,37,329,exp
78,40,330,exp
78,41,331,exp
78,52,332,exp
78,54,333,exp
78,56,334,exp
78,70,335,exp
78,80,336,exp
78,85,337,exp
78,112,338,exp
79,46,339,exp
80,54,340,exp
80,59,341,exp
80,112,342,exp
81,13,343,exp
81,54,344,exp
82,13,345,exp
82,40,346,exp
82,54,347,exp
82,59,348,exp
82,80,349,exp
83,59,350,exp
